in1,in2,out1,out2
0,41,0,103
0,35,204,81
0,190,42,11
1,132,249,15
0,225,212,1
1,108,206,25
0,214,103,33
0,174,160,254
1,82,31,104
1,144,128,39
0,73,143,76
1,241,128,67
0,241,120,39
1,187,23,119
0,233,175,231
1,235,253,60
1,179,9,180
0,166,164,131
0,219,138,157
1,60,82,143
0,135,155,234
1,12,169,132
1,62,184,167
0,153,27,111
1,36,177,29
0,94,187,219
0,13,242,153
1,28,89,8
1,6,70,116
1,183,123,41
1,71,112,113
0,222,229,141
1,18,36,98
1,77,211,168
1,200,188,39
0,67,195,240
0,187,141,129
0,139,136,90
0,31,14,131
1,3,64,106
0,90,247,233
0,125,31,230
1,9,186,167
0,56,132,32
1,37,20,204
0,93,179,181
0,212,11,139
1,203,23,124
1,252,9,160
1,150,100,5
1,245,160,231
0,69,30,103
0,59,127,8
0,19,25,68
1,137,16,54
1,10,238,22
0,28,22,215
1,219,76,149
1,50,77,168
1,32,126,27
1,154,177,2
1,80,139,149
0,238,122,84
1,64,216,71
0,120,128,101
1,54,96,118
0,253,82,165
0,18,99,36
1,246,69,219
0,158,142,187
1,125,50,155
1,73,218,246
1,220,212,129
0,173,82,79
1,79,140,92
0,20,98,83
1,242,231,204
1,68,51,211
0,64,156,208
1,102,237,133
0,208,168,119
0,107,52,142
0,196,82,38
0,48,98,188
0,183,41,90
0,50,51,43
1,161,84,177
0,34,40,171
0,246,246,226
1,145,145,73
0,157,172,2
1,139,246,142
1,218,100,106
0,176,82,98
0,202,236,133
1,2,30,110
1,185,193,205
1,114,195,248
1,157,160,149
1,44,50,40
0,128,28,37
0,126,153,40
0,197,253,253
0,213,68,172
1,233,127,128
1,178,142,117
1,234,245,19
1,201,166,255
0,204,29,8
1,83,40,194
0,191,87,51
0,103,6,190
1,191,34,128
1,20,230,226
0,45,68,98
0,220,136,124
0,142,189,114
1,131,139,205
1,239,78,91
0,87,238,41
0,97,200,42
1,255,117,180
0,105,71,65
0,143,167,113
0,205,139,83
1,209,26,71
0,30,42,96
0,156,21,185
1,22,220,92
0,230,139,24
0,29,160,101
1,240,177,219
1,74,18,161
0,119,122,115
0,2,116,54
0,215,83,52
1,232,133,96
0,57,90,23
0,44,82,13
1,30,74,141
0,51,179,249
0,116,174,193
1,244,4,251
1,213,71,35
0,159,126,22
1,164,181,72
0,89,230,65
0,53,61,10
1,207,100,209
1,34,50,27
0,244,123,151
0,207,5,5
1,211,155,144
0,144,45,40
0,72,198,173
1,143,206,223
1,117,242,44
1,230,214,63
1,217,6,199
1,29,89,77
1,42,219,175
1,229,255,61
1,192,81,239
1,247,210,175
0,43,185,242
0,129,134,188
1,14,249,241
0,95,164,91
0,80,209,55
1,0,74,134
1,97,107,52
0,141,206,81
1,190,49,120
0,123,189,121
0,5,242,184
0,21,38,113
0,7,190,220
1,59,173,145
0,130,21,51
1,31,85,14
1,24,65,63
0,112,75,197
0,146,237,255
0,100,173,209
1,84,147,0
1,206,71,164
1,177,118,237
0,133,184,25
1,105,42,229
1,248,171,20
0,70,223,248
0,106,120,136
0,4,242,42
0,115,50,111
0,47,166,71
1,103,25,38
1,104,130,185
0,247,91,198
0,74,177,105
0,118,36,146
0,250,234,121
1,17,169,60
1,136,183,35
1,121,11,244
0,254,123,238
0,82,45,97
1,69,144,213
1,216,148,113
0,40,198,204
0,11,254,63
0,245,32,97
1,197,176,86
1,96,54,225
0,61,79,96
1,151,117,249
0,39,124,158
1,138,215,19
1,89,6,43
1,208,78,6
0,194,240,128
0,104,218,70
0,121,57,8
0,8,137,59
1,106,5,186
0,165,193,186
1,40,95,223
1,193,200,113
0,140,84,4
0,169,226,64
1,11,156,174
1,140,180,198
1,47,178,169
0,149,98,108
0,193,203,203
0,155,121,216
1,168,2,119
0,167,254,46
0,134,86,25
1,181,203,48
0,84,123,55
0,154,70,86
1,231,255,234
0,217,104,109
1,35,169,51
0,85,40,61
0,108,111,145
0,161,29,215
0,102,186,170
1,78,11,140
1,225,198,188
0,113,220,122
1,159,112,220
1,226,200,122
1,165,173,122
0,226,29,177
0,180,240,255
1,101,18,115
0,42,180,52
1,70,209,84
0,137,229,209
1,130,115,163
1,122,111,13
1,118,108,87
1,99,110,36
0,177,79,119
0,38,174,188
0,223,51,200
1,109,6,223
0,98,238,162
0,224,89,208
0,150,189,48
1,52,254,250
1,166,9,98
1,63,125,166
1,94,152,247
0,14,240,123
0,227,120,235
0,3,119,153
0,65,64,241
1,15,190,47
1,5,247,17
1,27,50,84
0,231,209,164
0,54,248,221
1,8,149,84
0,243,108,253
0,168,26,151
1,141,117,205
0,235,85,47
0,255,119,154
0,160,208,33
0,117,153,110
1,126,169,210
1,115,105,202
0,77,158,169
1,194,76,199
1,43,157,247
1,250,179,169
1,48,195,27
0,127,195,53
0,240,68,245
1,134,61,100
1,170,224,30
1,91,7,91
0,138,92,205
0,27,1,113
1,253,74,10
0,184,245,214
0,114,238,155
1,205,39,246
1,13,23,161
0,68,48,212
0,58,32,8
1,180,211,47
0,16,238,200
0,76,100,87
1,236,53,194
1,76,105,197
1,49,159,213
0,170,43,67
1,202,13,75
1,39,255,14
1,66,231,32
0,124,96,237
1,156,150,217
0,248,2,99
1,135,193,98
0,32,121,240
1,184,6,210
1,61,146,32
0,96,168,235
1,128,236,87
1,173,211,188
1,65,124,95
0,228,163,253
1,21,200,178
0,66,221,111
0,0,73,84
1,254,255,112
0,33,75,63
1,147,233,134
0,175,19,20
1,111,13,93
1,7,150,109
0,101,176,211
0,9,234,14
1,1,50,15
1,23,174,81
1,86,10,202
0,198,226,211
0,216,163,94
0,136,241,229
1,129,58,130
1,56,107,173
1,107,50,21
1,249,180,122
1,113,136,40
1,120,77,57
1,41,164,41
1,153,150,252
0,55,163,228
1,149,165,128
1,87,37,177
1,116,214,253
1,67,254,224
0,17,132,206
1,189,52,156
0,110,126,242
1,123,232,7
1,98,212,166
1,92,43,67
0,229,231,176
1,198,172,75
1,195,94,72
1,167,178,251
1,16,115,120
1,155,165,27
1,158,86,110
0,163,36,192
1,152,241,84
1,199,145,168
1,127,70,201
1,93,146,89
1,95,156,132
0,52,154,251
0,78,194,51
0,178,129,40
1,182,9,13
0,236,163,85
1,81,66,61
0,1,95,61
1,214,115,197
1,25,143,94
0,152,178,255
1,46,37,83
1,188,253,195
0,148,164,84
0,49,204,38
1,175,100,232
0,181,101,84
0,164,53,84
1,75,1,67
0,23,31,196
1,33,243,146
0,234,102,101
1,176,29,57
0,88,194,11
0,91,10,227
1,160,26,35
0,92,150,32
1,85,54,53
1,210,110,9
0,172,3,32
1,26,189,182
1,169,0,152
1,38,105,210
1,163,233,184
1,51,203,179
1,119,160,208
0,147,20,123
1,223,183,98
1,162,20,155
0,188,237,53
0,195,249,212
1,4,29,255
1,174,218,92
1,215,171,130
1,204,209,140
0,237,132,103
0,122,50,199
1,133,44,89
1,142,89,158
1,238,153,56
0,6,212,130
0,185,176,105
1,45,181,180
1,224,167,218
1,55,49,176
0,251,226,224
0,242,149,159
0,182,186,172
1,221,232,106
0,186,11,92
0,192,75,125
0,10,62,239
0,15,57,172
0,179,58,142
1,212,158,169
1,237,185,150
0,25,75,33
0,63,186,71
1,148,174,93
0,221,29,133
1,88,120,13
0,218,22,156
0,79,39,148
0,239,182,68
1,196,36,189
0,75,18,158
0,86,0,44
0,132,244,114
1,243,225,241
1,57,22,22
1,72,158,52
0,62,36,121
1,110,193,207
1,19,247,235
0,206,217,238
0,189,165,197
0,211,104,67
0,201,6,60
0,22,149,2
0,210,25,43
0,209,52,70
0,145,14,11
0,199,36,216
0,12,247,62
0,36,217,72
0,24,160,76
0,203,61,78
1,100,249,253
0,131,116,53
1,112,92,242
0,71,68,135
1,90,176,189
1,222,6,135
0,109,15,72
1,228,110,174
0,252,81,25
0,37,82,210
1,186,145,121
0,99,34,30
0,171,39,221
0,200,165,102
0,151,228,101
1,124,76,149
1,227,194,62
0,232,83,162
0,60,69,164
1,171,59,89
0,249,84,113
1,58,30,202
1,251,110,212
0,81,39,225
0,46,220,101
0,111,168,169
0,26,74,250
0,83,198,43
1,53,157,198
1,146,220,74
0,162,110,99
1,172,204,107
