in1,in2,out1,out2
1,196,207,84
1,134,142,190
0,96,95,117
0,34,82,52
1,222,57,33
1,206,48,29
0,2,121,248
1,15,233,200
1,219,225,155
0,206,17,240
0,99,27,16
1,4,68,15
0,240,60,58
1,239,240,242
0,28,213,248
1,201,96,24
1,24,92,94
1,85,150,55
0,143,31,202
1,195,150,126
1,114,74,164
0,180,187,177
1,111,71,235
1,106,133,76
1,228,251,128
0,101,247,114
1,131,25,12
0,253,212,195
0,5,108,29
0,185,5,14
0,166,242,146
0,116,221,98
1,58,1,218
1,141,72,206
1,19,198,196
1,182,136,201
0,31,66,49
0,30,200,246
1,223,94,104
1,12,172,108
1,40,139,114
1,31,62,226
0,199,159,23
1,213,40,56
0,136,139,146
1,9,7,58
1,44,217,110
1,124,216,50
1,81,56,134
0,179,32,182
0,92,10,106
0,168,54,11
1,221,107,6
0,178,75,17
1,110,194,191
1,162,154,169
0,66,111,95
1,92,117,158
1,17,184,64
1,21,165,181
1,14,109,48
0,192,213,63
1,200,197,47
1,140,20,176
1,231,236,167
1,20,76,32
0,12,44,142
1,90,35,168
1,191,35,246
0,211,251,220
1,67,226,222
1,157,156,143
1,122,20,249
1,83,139,176
0,238,3,205
0,91,241,119
0,70,38,49
1,29,129,215
1,126,80,232
0,182,202,188
1,138,193,116
1,10,96,220
0,65,237,99
0,100,225,108
1,214,58,100
0,93,70,81
0,231,18,175
0,220,25,91
0,118,22,101
0,172,87,164
1,181,26,47
0,171,113,143
0,4,233,5
1,252,55,207
0,1,109,154
0,88,139,1
1,144,56,31
0,227,242,34
0,232,117,181
0,17,228,20
1,96,6,13
1,197,54,246
1,143,178,202
1,116,38,210
1,105,237,170
0,79,181,104
0,63,206,196
1,188,240,14
1,205,74,111
0,173,22,67
0,195,170,181
0,147,137,160
1,45,204,96
1,130,237,144
0,32,88,205
1,75,226,184
0,20,240,26
1,52,202,158
1,145,180,20
1,115,76,228
0,141,147,161
1,234,20,15
1,1,131,244
0,164,219,218
1,179,239,209
0,21,185,59
0,165,216,72
1,62,106,73
1,183,97,61
0,129,96,73
0,157,85,247
0,205,27,16
0,230,54,176
0,19,195,139
1,208,2,181
1,193,188,89
0,200,162,102
0,225,235,193
1,167,223,70
1,5,85,77
0,208,126,101
0,236,181,70
0,142,19,164
0,71,242,108
0,103,132,249
0,190,213,178
1,66,244,212
0,15,209,66
1,204,223,168
0,153,187,99
1,18,170,158
0,55,10,96
1,232,137,190
1,155,137,147
0,42,98,137
1,161,44,201
0,41,78,148
0,133,86,175
1,60,244,175
1,65,193,222
0,94,32,114
0,64,135,165
0,3,113,247
0,132,234,150
0,120,231,229
1,233,44,230
0,154,248,145
0,111,155,8
1,117,229,168
1,177,39,122
0,97,224,248
1,247,3,62
0,8,97,253
0,201,168,74
1,87,107,131
1,102,91,168
0,224,111,116
1,27,215,96
1,59,57,230
0,202,244,179
0,241,12,22
1,48,227,136
1,169,195,9
0,221,162,197
1,146,66,41
0,181,60,251
0,56,241,31
1,132,123,245
1,50,31,100
1,101,178,40
0,167,64,100
0,40,127,27
1,217,32,82
1,220,88,68
1,133,252,236
1,246,25,36
1,98,76,204
1,207,254,169
1,170,162,122
0,44,189,74
0,150,173,57
1,89,147,100
0,23,28,217
1,235,150,198
1,82,243,6
1,91,146,99
0,244,211,235
1,42,128,17
1,153,205,182
0,9,191,171
0,49,59,231
1,108,247,90
1,240,75,243
0,6,90,168
1,3,178,17
1,23,215,132
1,227,63,245
1,8,63,203
0,252,15,53
0,145,169,127
1,147,127,98
0,162,179,134
1,241,4,195
1,63,224,79
1,104,31,104
1,34,248,3
1,25,220,227
0,38,9,11
0,138,83,57
1,88,31,158
0,135,143,94
1,229,66,25
1,156,61,116
0,110,244,17
1,79,182,200
1,56,141,241
0,74,69,148
1,97,217,62
1,43,9,169
0,204,205,30
0,24,163,208
0,152,37,163
0,80,188,86
1,16,5,152
1,171,191,235
0,72,237,110
1,242,49,55
0,213,232,220
0,160,216,61
0,60,29,82
1,77,165,215
1,243,220,252
0,10,124,71
1,199,166,137
0,214,154,68
0,68,178,98
1,159,222,66
1,236,3,136
0,18,221,21
0,61,136,157
1,28,94,193
0,76,236,104
0,215,211,194
0,175,95,249
0,86,125,53
1,137,159,67
1,53,201,179
0,193,93,138
0,187,97,26
1,165,191,49
0,73,121,150
1,109,38,109
0,98,202,188
0,54,71,156
1,84,72,191
1,203,148,214
1,120,235,13
0,235,64,106
0,105,249,145
0,149,6,87
1,35,101,100
0,170,151,64
0,115,33,221
0,62,75,232
1,180,35,190
0,189,98,247
0,127,206,114
1,166,90,28
1,238,121,120
1,7,74,66
1,6,240,198
1,22,45,226
0,161,206,147
1,192,61,55
1,70,179,61
1,37,120,40
1,51,68,86
0,53,68,224
1,30,223,108
1,237,241,232
1,174,17,230
1,176,83,250
0,36,101,162
0,37,42,229
0,218,69,1
1,80,236,97
0,106,148,5
0,243,174,215
1,251,78,32
0,52,186,243
1,186,76,13
0,237,129,244
0,113,87,12
1,136,214,3
1,230,112,103
1,215,188,101
1,189,0,52
1,55,115,199
0,234,133,226
1,121,160,127
1,129,245,50
1,100,212,72
0,121,18,177
1,36,33,107
0,48,94,230
0,146,193,32
1,112,39,174
0,128,238,212
1,93,169,96
1,158,255,64
0,14,218,188
0,114,114,25
1,47,215,177
0,102,28,8
0,46,192,205
1,72,80,3
1,163,61,201
1,150,218,8
0,177,28,33
0,124,172,212
0,117,224,46
0,203,7,240
0,11,132,11
0,163,116,83
0,223,193,101
0,188,125,62
0,216,167,78
1,54,176,97
0,112,114,92
0,26,166,66
1,226,39,170
1,142,146,84
0,156,48,138
1,224,122,124
0,85,21,166
1,249,230,36
0,246,225,225
0,134,171,148
1,68,219,171
1,178,183,124
0,107,139,88
1,13,83,105
1,209,122,73
1,139,121,98
1,172,102,216
1,78,238,150
0,191,44,118
0,33,52,70
0,229,140,39
1,202,140,22
0,158,183,250
0,27,119,27
1,57,164,68
0,51,157,213
0,75,89,90
1,49,111,198
0,84,134,89
0,108,248,91
0,137,141,68
0,155,73,170
0,69,175,145
1,119,228,241
1,149,104,61
1,255,102,39
0,109,196,138
0,82,254,231
0,7,157,170
0,183,223,114
1,164,102,161
0,90,44,177
1,151,4,21
1,253,92,20
0,228,124,168
0,194,238,0
0,89,147,1
0,174,11,173
1,254,89,104
0,122,196,4
0,207,16,198
1,127,150,130
1,11,246,113
0,59,194,196
1,118,170,139
0,22,86,133
0,16,51,94
0,87,65,216
0,159,184,186
0,209,79,30
0,78,35,218
0,255,162,47
1,245,222,198
1,248,139,67
1,216,121,50
1,175,211,71
1,86,4,33
0,254,249,88
0,226,111,44
0,104,56,142
1,33,166,90
0,184,28,78
1,39,137,69
1,128,134,221
0,219,151,169
0,130,209,23
1,32,101,51
0,13,156,176
1,198,239,24
0,67,103,187
0,239,192,183
0,169,238,241
0,249,86,134
0,57,211,222
1,61,177,97
0,196,83,51
1,103,125,207
0,186,146,245
1,107,192,152
1,113,79,163
0,245,46,114
1,64,218,255
0,210,9,254
1,46,94,66
0,198,41,138
0,151,151,198
1,187,100,88
1,190,45,206
1,135,155,252
0,0,67,18
0,29,47,185
1,211,105,60
0,222,60,34
0,251,237,48
1,225,243,230
0,47,14,84
1,0,167,105
1,244,64,189
1,26,247,88
0,35,180,68
1,160,237,136
0,58,26,119
0,125,153,189
0,45,254,178
1,2,35,128
0,77,101,38
1,218,160,129
1,73,250,157
1,250,168,11
0,250,239,60
0,144,249,102
0,95,0,169
1,99,81,68
0,119,158,175
0,131,58,175
0,212,244,225
1,184,211,155
1,173,126,212
0,242,97,69
1,94,106,226
1,212,227,100
0,248,209,73
0,176,44,241
0,233,237,76
0,217,238,121
1,76,167,44
1,95,64,183
1,125,166,204
1,123,127,86
0,123,61,198
0,197,178,122
0,126,11,182
1,152,37,199
1,154,45,146
0,140,66,194
0,148,24,111
1,194,32,32
1,38,35,131
1,41,113,166
1,210,57,192
0,39,39,77
1,71,120,107
